,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
150,Sven Bender,Borussia Dortmund,26,M(C),14(6),1253,-,-,2,-,0.3,79.5,2.7,1,6.97,3,2.2,1.4,0.1,1.1,1.5,0.2,-,0.6,0.8,1,-,0.5,0.5,37.6,0.1,1.5,0.1,Bundesliga,2014/2015
151,Roel Brouwers,Borussia M.Gladbach,34,D(C),15(5),1413,1,-,2,-,0.3,92,2.4,1,6.97,1.1,1.9,0.4,0.5,4.2,0.3,1,-,0.2,0.3,0.3,-,0.1,0.3,44.3,-,2,-,Bundesliga,2014/2015
152,Tin Jedvaj,Leverkusen,20,D(CLR),18(4),1663,2,1,6,1,0.7,71.8,2.5,-,6.97,1.8,2.9,1,0.4,3.6,0.7,0.4,1,0.3,0.5,0.5,-,0.6,0.5,27.7,0.1,1.6,-,Bundesliga,2014/2015
153,Josuha Guilavogui,Wolfsburg,25,M(C),21(6),1775,1,-,4,1,0.6,83,2,1,6.96,2.2,2.4,1.6,-,1.3,1.1,0.2,-,0.3,1,0.6,0.1,0.6,0.9,35.8,-,2.2,-,Bundesliga,2014/2015
154,Constant Djakpa,Eintracht Frankfurt,29,D(L),5(1),437,-,-,1,-,0.3,60.6,1.8,-,6.96,1.3,2.7,1.3,0.5,2.5,0.8,0.3,-,0.8,1.2,2,-,1,1.3,28.3,0.7,1.3,-,Bundesliga,2014/2015
155,Marcel Ndjeng,Hertha Berlin,33,M(R),11(5),1107,1,2,2,-,0.6,62.1,1.7,1,6.96,2.4,2.3,0.9,0.2,2.9,0.9,0.3,-,0.5,0.7,1,0.1,0.7,0.8,21.9,0.4,1.6,0.1,Bundesliga,2014/2015
156,Rafa,Paderborn,30,D(CL),16,1391,-,-,2,-,0.3,78.2,2.6,-,6.96,1.9,3.6,1.1,0.3,5.7,0.9,0.8,1,0.1,0.3,0.8,-,0.1,0.1,34.7,-,2.1,-,Bundesliga,2014/2015
157,Marvin Bakalorz,Paderborn,26,M(C),26(3),2177,1,2,2,1,1.1,71.4,4.1,-,6.96,2.3,2,1.4,-,1.3,1.5,0.3,-,0.4,1.4,2.1,0.1,1.7,1.1,24.1,-,1.3,0.1,Bundesliga,2014/2015
158,Kevin Vogt,FC Koln,24,M(C),30(2),2689,1,3,8,-,0.7,79,3.3,1,6.96,1.6,1.2,1.8,-,1.7,1.6,0.3,-,0.9,0.8,1.5,-,0.6,0.6,47.2,-,4.8,0.1,Bundesliga,2014/2015
159,Jens Wemmer,Paderborn,30,D(R),17(4),1494,1,1,-,-,0.8,65.9,2.7,2,6.95,2.3,2.2,1,0.2,2.6,1,0.1,-,0.7,0.5,1.9,0.2,1.1,0.9,21.5,0.4,0.8,-,Bundesliga,2014/2015
160,Tranquillo Barnetta,Schalke,30,M(CLR),10(12),1071,3,4,-,-,0.9,72.1,0.8,1,6.94,1.7,1,0.7,-,0.6,1.6,0.3,-,1.5,0.6,0.9,0.1,0.8,0.7,27.2,1.3,1.2,0.1,Bundesliga,2014/2015
161,Valon Behrami,Hamburg,30,M(C),22,1911,-,-,7,1,0.5,79.9,2.5,-,6.94,4.2,2.9,2.9,0.1,2,2,0.3,-,0.3,0.6,2,-,1.1,0.8,39.7,-,1,-,Bundesliga,2014/2015
162,Koen Casteels,Werder Bremen,23,GK,6,540,-,-,-,-,-,61.4,0.8,-,6.94,-,-,-,-,1.8,-,-,-,-,-,0.7,-,-,0.2,26.3,-,7.3,-,Bundesliga,2014/2015
163,Pawel Olkowski,FC Koln,25,M(R),24(3),2110,2,2,1,1,0.8,66.1,2,1,6.94,1.9,1.3,0.9,0.1,2.9,1.1,0.2,-,0.5,1.4,1.1,0.1,1.1,1.1,28.5,0.3,1.3,0.1,Bundesliga,2014/2015
164,Mergim Mavraj,FC Koln,29,D(C),11(4),1033,-,-,1,-,0.1,86.6,2.9,-,6.94,1.6,1.6,0.7,0.1,7.6,0.7,0.9,-,0.2,0.3,0.7,-,0.1,0.1,29.4,-,2.5,-,Bundesliga,2014/2015
165,Klaas Jan Huntelaar,Schalke,32,FW,27(1),2438,9,3,5,1,2.6,73.7,2.1,2,6.94,0.5,0.1,1.8,-,0.5,0.6,-,-,1,0.9,1.7,1,1.8,1.6,19.1,-,0.4,-,Bundesliga,2014/2015
166,Stefan Thesker,Hannover,24,DMC,1(1),96,-,-,-,-,-,53.6,3.5,-,6.94,1,1.5,1,0.5,1.5,0.5,0.5,-,0.5,-,0.5,-,-,0.5,14,-,0.5,-,Bundesliga,2014/2015
167,Oliver Sorg,Freiburg,25,M(R),24(1),2057,1,3,3,-,1,72.7,0.8,2,6.93,2.6,2.2,1.4,0.3,2.8,1.6,0.2,-,0.5,1.2,1.3,-,1.2,0.7,34,0.2,2.2,-,Bundesliga,2014/2015
