,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
80,Sergio Sánchez,Sevilla,D(CR),6(1),558,-,1,3,-,0.3,76.9,1.6,-,7.14,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
81,Weligton,Malaga,D(C),20(1),1753,3,-,5,1,0.5,74.8,1.3,3,7.13,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
82,Felipe Mattioni,Mallorca,D(R),14(6),1337,1,-,2,-,0.8,77.1,0.6,-,7.13,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
83,Fernando Gago,Real Madrid,M(C),14(4),1181,-,2,4,-,0.8,85.2,1.3,-,7.13,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
84,Leonardo Ponzio,Real Zaragoza,M(C),34,3006,1,1,15,1,1.3,70.1,0.8,3,7.13,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
85,Ion Vélez,Athletic Bilbao,Forward,1(1),113,-,-,1,-,1,80,1.5,-,7.13,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
86,Adriano,Sevilla,M(L),23(4),2078,-,5,6,-,0.9,71.6,0.6,1,7.13,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
87,José Antonio Culebras,Tenerife,D(L),16(2),1413,1,-,3,1,0.2,67.9,1.8,2,7.13,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
88,Gerard Piqué,Barcelona,D(C),29(3),2485,2,-,6,1,0.5,86.9,0.9,1,7.12,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
89,Enrique Corrales,Mallorca,D(L),5(2),516,-,2,3,-,0.1,74.3,0.1,1,7.12,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
90,Tiago,Atletico,M(C),16(2),1452,2,-,7,-,0.9,80.7,1.7,2,7.11,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
91,Gonzalo Colsa,Racing Santander,M(CR),28(2),2537,3,1,10,-,1.5,77.6,1.1,2,7.11,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
92,Frederic Kanoute,Sevilla,FW,20(7),1790,12,2,3,2,1.8,70,2.6,2,7.11,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
93,Diego Castro,Sporting Gijon,M(CLR),31(4),2763,10,2,6,-,1.5,75.2,0.1,4,7.11,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
94,Bruno Soriano,Villarreal,M(C),31(2),2799,-,3,10,-,0.2,84.5,1.1,-,7.11,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
95,Guilherme Santos,Almeria,M(C),11(4),1009,1,-,1,1,0.5,78.2,0.3,2,7.10,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
