,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
474,Enrique Carreño,Sevilla,Forward,0(1),40,-,-,-,-,-,60,1,-,6.31,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
475,Kike Mateo,Sporting Gijon,Midfielder,2(14),385,-,1,2,-,0.7,73.8,0.1,-,6.31,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
476,Emilio Viqueira,Xerez,Midfielder,4(13),675,-,-,1,-,0.5,79.2,-,-,6.30,36.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
477,Dady,Osasuna,Forward,4(6),344,1,1,1,-,0.7,56.6,0.7,-,6.30,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
478,Antoñito,Xerez,Forward,2(23),695,3,1,2,-,0.4,73.2,0.2,-,6.29,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
479,Moratón,Racing Santander,D(L),10(1),830,-,-,2,2,0.1,74.1,0.5,-,6.27,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
480,Eneko Bóveda,Athletic Bilbao,D(CR),0(1),32,-,-,1,-,1,80,1,-,6.27,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
481,Juanfran,Real Madrid,M(R),0(1),5,-,-,-,-,-,100,-,-,6.27,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
482,Sergio Matabuena,Sporting Gijon,DMC,5(9),525,-,-,4,-,0.1,73.7,0.3,-,6.27,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
483,Álex Quillo,Almeria,Midfielder,0(1),16,-,-,-,-,1,71.4,-,-,6.26,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
484,Jokin Esparza,Osasuna,Midfielder,0(5),85,-,-,-,-,0.8,93.8,0.2,-,6.26,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
485,José Carlos Fernández,Sevilla,M(LR),2(8),235,1,-,-,-,0.2,79.8,-,-,6.26,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
486,Juanjo Exposito,Racing Santander,Forward,0(1),31,-,-,-,-,1,75,-,-,6.25,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
487,Víctor Laguardia,Real Zaragoza,D(C),3,270,-,-,1,-,-,64.2,0.7,-,6.25,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
488,Ben Sahar,Espanyol,FW,5(17),604,1,-,-,-,0.8,77.6,0.4,-,6.23,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
489,Abel Gómez,Xerez,M(C),9(8),814,-,1,3,-,0.9,76.4,0.1,-,6.22,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
490,David Rodríguez,Almeria,FW,2(7),219,1,-,-,-,0.9,65,0.2,-,6.22,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
491,Miku,Valencia,FW,1(1),70,-,-,-,-,-,51.6,2,-,6.22,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
492,Iván Javier Cuadrado,Malaga,Defender,4,316,-,-,2,-,0.5,73.8,0.5,-,6.21,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
493,Azrack-Yassine Mahamat,Espanyol,Midfielder,0(2),56,-,-,-,-,-,90,-,-,6.21,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
494,Alhassane Keita,Mallorca,Forward,2(21),439,3,-,1,-,0.7,70.7,-,-,6.19,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
495,Kepa,Getafe,Forward,0(5),39,-,-,-,-,0.4,66.7,0.4,-,6.19,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
496,Iñigo Pérez,Athletic Bilbao,M(CL),0(3),42,-,-,-,-,1,46.2,0.3,-,6.19,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
497,Koke,Atletico,M(CLR),1(3),126,-,-,-,-,0.3,85.5,-,-,6.19,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
498,Rodolfo Bodipo,Deportivo,FW,6(9),504,-,1,1,-,0.5,69.3,0.5,-,6.18,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
499,Alberto Escassi,Getafe,Midfielder,0(1),8,-,-,-,-,-,100,-,-,6.18,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
500,Rubén Pérez,Atletico,M(C),0(1),11,-,-,-,-,-,77.8,-,-,6.18,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
501,Javier Calleja,Osasuna,AM(C),6(16),674,-,1,3,-,0.4,71,0.2,-,6.18,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
502,Edu Ramos,Malaga,Midfielder,0(3),130,-,-,-,-,-,93.2,0.3,-,6.17,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
503,Joel Robles,Atletico,GK,1(1),167,-,-,-,-,-,33.3,-,-,6.17,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
504,Garcia Pedro,Sporting Gijon,midfielder,4(1),312,-,-,1,-,0.2,78,0.8,-,6.17,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
505,Paulo Pezzolano,Mallorca,Midfielder,1(11),226,-,-,-,-,0.1,70.2,0.3,-,6.16,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
506,David Añón,Deportivo,Forward,1(2),94,-,-,1,-,0.3,76.5,0.3,-,6.16,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
507,Arouna Koné,Sevilla,FW,3(9),369,-,-,1,-,0.7,72.8,0.7,-,6.16,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
508,Iván De la Peña,Espanyol,Midfielder,0(4),157,-,-,2,-,0.3,76.1,-,-,6.15,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
509,Borja Lázaro,Sporting Gijon,Forward,0(1),13,-,-,-,-,-,66.7,-,-,6.15,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
510,Franck Songo'o,Real Zaragoza,Forward,0(5),79,-,-,-,-,0.4,92.3,-,-,6.15,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
511,Jonathan dos Santos,Barcelona,M(CR),1(2),86,-,-,-,-,0.3,90.2,-,-,6.14,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
512,Iñigo Díaz de Cerio,Athletic Bilbao,Forward,0(5),92,-,-,-,-,0.2,55,-,-,6.13,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
513,Francisco Portillo,Malaga,M(CLR),0(1),16,-,-,-,-,-,100,-,-,6.13,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
514,Sergi Enrich,Mallorca,FW,0(1),22,-,-,-,-,-,88.9,1,-,6.13,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
515,Jorge Galán,Osasuna,Forward,0(20),356,1,-,-,-,0.5,73.5,-,-,6.13,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
516,Matías Alustiza,Xerez,Forward,1(10),234,1,-,1,1,1.4,80.7,0.1,-,6.12,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
517,Giancarlo Maldonado,Xerez,Forward,6(3),394,-,-,1,-,0.9,74.6,-,-,6.12,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
518,Javi López,Espanyol,DMC,0(1),6,-,-,-,-,-,100,-,-,6.12,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
519,Pedro Mosquera,Real Madrid,M(C),0(1),1,-,-,-,-,-,66.7,-,-,6.12,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
520,Lautaro Acosta,Sevilla,FW,1(5),189,-,-,-,-,0.5,86.4,-,-,6.12,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
521,Marco Ruben,Villarreal,FW,1(3),116,-,-,-,-,0.5,72.7,1,-,6.11,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
522,Iñaki Muñoz,Athletic Bilbao,Midfielder,0(1),29,-,-,-,-,1,90.9,1,-,6.11,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
523,Ángel Rodríguez,Tenerife,FW,0(24),318,1,-,1,-,0.5,69.9,0.2,-,6.11,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
524,Míchel Herrero,Valencia,M(CR),0(3),27,-,-,-,-,-,100,-,-,6.11,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
525,Marcos Gullón,Villarreal,M(C),0(1),3,-,-,-,-,-,33.3,1,-,6.10,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
526,Braulio,Real Zaragoza,AM(L),0(3),28,-,-,-,-,-,62.5,0.3,-,6.10,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
527,Kevin Lacruz,Real Zaragoza,Defender,0(3),37,-,-,-,-,0.7,83.3,-,-,6.09,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
528,Jonathan Pereira,Villarreal,FW,0(6),126,-,-,2,-,0.3,68.8,-,-,6.09,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
529,Raúl Tamudo,Espanyol,AM(L),4(2),378,-,-,1,-,1,79.4,-,-,6.09,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
530,Isaac Aketxe,Athletic Bilbao,Forward,0(1),10,-,-,-,-,-,50,1,-,6.09,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
531,Marcos Landeira,Sporting Gijon,Midfielder,1,90,-,-,-,-,-,67.7,-,-,6.09,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
532,Esteban Solari,Almeria,Forward,0(2),14,-,-,-,-,-,100,-,-,6.09,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
533,Mario Ortíz,Racing Santander,Midfielder,0(2),10,-,-,-,-,-,60,-,-,6.08,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
534,Cosmin Contra,Getafe,Defender,0(3),32,-,-,1,-,-,73.3,0.3,-,6.07,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
535,Gaizka Saizar,Tenerife,Forward,0(4),34,-,-,-,-,0.3,76.5,0.3,-,6.07,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
536,Juanmi,Malaga,FW,0(5),106,-,1,-,-,0.4,73.3,-,-,6.06,17.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
537,Luisma,Racing Santander,Midfielder,0(1),19,-,-,-,-,-,85.7,-,-,6.06,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
538,Edu Bedia,Racing Santander,AM(C),0(5),69,-,-,-,-,0.2,83.3,0.2,-,6.05,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
539,Álex Sánchez,Real Zaragoza,Forward,0(3),43,-,-,1,-,0.3,83.3,-,-,6.05,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
540,Andreu Fontàs,Barcelona,DMC,0(1),6,-,-,-,-,-,91.7,-,-,6.04,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
541,Javier Portillo,Osasuna,AM(L),0(2),39,-,-,-,-,0.5,70,-,-,6.04,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
542,Raúl Navas,Real Valladolid,D(C),1,90,-,-,-,-,-,75,-,-,6.04,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
543,Borja Bastón,Atletico,FW,0(1),22,-,-,-,-,-,80,-,-,6.03,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
544,Jorge Molino,Atletico,Forward,0(1),4,-,-,-,-,-,75,-,-,6.03,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
545,Tomás Pina,Mallorca,M(C),0(1),9,-,-,-,-,1,71.4,-,-,6.02,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
546,Alan Baró,Osasuna,Defender,0(1),1,-,-,-,-,-,-,-,-,6.00,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
547,Ángel Lafita,Deportivo,FW,0(1),26,-,-,1,-,-,70,-,-,6.00,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
548,Marc Pedraza,Espanyol,Defender,0(1),1,-,-,-,-,-,100,-,-,6.00,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
549,Marcos Alonso,Real Madrid,M(L),0(1),1,-,-,-,-,-,100,-,-,6.00,19.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
550,Asier Arranz,Real Valladolid,Midfielder,1,76,-,-,-,-,-,57.1,-,-,5.99,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
551,Javier Chevantón,Sevilla,FW,0(1),11,-,-,-,-,1,40,-,-,5.98,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
552,Juan Muñiz,Sporting Gijon,Midfielder,0(1),45,-,-,-,-,-,81.8,-,-,5.93,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
553,Kiko Olivas,Villarreal,D(C),2,117,-,-,-,1,0.5,68.6,0.5,-,5.89,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
554,John Heitinga,Atletico,D(C),1,90,-,-,1,-,2,65.9,-,-,5.86,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
