,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
481,Oliver Hüsing,Werder Bremen,D(C),0(1),6,-,-,-,-,-,50,-,-,5.95,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1,-,Bundesliga,2015/2016
482,Marius Wolf,Hannover,M(CLR),2,141,-,-,1,-,0.5,44.4,0.5,-,5.95,0.5,1.5,0.5,-,3,2.5,0.5,-,-,-,0.5,0.5,2,0.5,9,-,-,-,Bundesliga,2015/2016
483,Felipe,Hannover,D(C),1(7),125,-,-,2,-,-,65.8,1,-,5.93,0.3,0.3,0.5,0.1,0.8,0.1,0.3,1,-,0.1,0.5,-,-,-,4.8,-,0.6,-,Bundesliga,2015/2016
484,Marvin Wanitzek,Stuttgart,M(C),0(1),4,-,-,-,-,-,75,-,-,5.93,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,Bundesliga,2015/2016
485,Philipp Klement,Mainz,M(C),0(2),28,-,-,-,-,0.5,85,-,-,5.92,0.5,-,-,-,-,0.5,-,-,-,0.5,-,-,0.5,-,10,-,-,0.5,Bundesliga,2015/2016
486,Nico Rinderknecht,Eintracht Frankfurt,Midfielder,0(1),5,-,-,-,-,-,100,-,-,5.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,Bundesliga,2015/2016
487,Alexander Manninger,Augsburg,GK,1(1),93,-,-,-,-,-,62.5,-,-,5.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,4,-,Bundesliga,2015/2016
488,Felix Platte,Schalke,FW,0(1),1,-,-,1,-,-,-,-,-,5.87,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga,2015/2016
489,Odysseas Vlachodimos,Stuttgart,GK,2(1),202,-,-,-,-,-,63.6,-,-,5.69,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,18.3,-,4.3,-,Bundesliga,2015/2016
490,Stefan Wannenwetsch,Ingolstadt,Midfielder,0(1),37,-,-,-,-,-,60,-,-,5.50,-,1,1,-,-,1,-,-,-,-,-,-,-,-,10,-,-,-,Bundesliga,2015/2016
498,Thomas Kessler,FC Koln,GK,1,90,-,-,-,-,-,50,-,-,5.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,11,-,Bundesliga,2015/2016
