,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
40,Yann M'Vila,Rennes,21,M(C),37,3307,2,1,4,-,0.8,82.2,1.1,1,7.15,2.9,2.4,1.1,0.1,2.4,0.8,0.2,-,0.5,0.5,1.1,-,0.9,0.6,61.2,0.1,5.5,0.3,Ligue 1,2010/2011
41,Lamine Sané,Bordeaux,24,M(C),33,2926,2,-,4,-,0.7,79.5,2.2,1,7.15,1.8,2.5,1.3,0.8,4.8,0.6,0.3,-,0.5,0.4,0.9,-,0.5,0.5,39.1,0.4,3.4,-,Ligue 1,2010/2011
42,Mathieu Debuchy,Lille,26,M(R),35,3056,2,3,10,-,0.9,73.9,1.7,1,7.15,3.1,2.4,2,0.3,3.5,1.1,0.1,-,1,0.4,1.5,-,0.7,0.9,39.8,0.9,1.1,-,Ligue 1,2010/2011
43,Adama Coulibaly,Auxerre,31,DMC,38,3420,-,-,4,-,0.5,79.7,2.4,2,7.15,1.5,2.4,1.1,0.4,10.6,0.4,1,-,0.1,0.1,0.6,-,0.2,0.2,28.7,-,2,-,Ligue 1,2010/2011
44,Loïc Rémy,Nice,24,FW,2,180,1,-,-,-,3.5,83.9,1.5,-,7.14,0.5,-,2,-,-,-,-,-,0.5,1.5,1.5,0.5,2,1,28,0.5,1,-,Ligue 1,2010/2011
45,Kevin Gameiro,Lorient,24,FW,36,3223,22,3,-,-,3.8,79.4,0.2,5,7.13,0.4,0.3,0.4,-,0.1,0.3,-,-,1.6,1,0.9,0.7,2.4,2.5,34.3,0.6,1,0.2,Ligue 1,2010/2011
46,Jean-Armel Kana-Biyik,Rennes,22,D(C),27(1),2479,1,-,5,1,0.2,84.7,1.5,1,7.13,2.5,2.6,0.9,1.1,7.2,0.4,0.4,-,-,0.3,0.5,-,0.2,0.2,37.2,-,2.4,-,Ligue 1,2010/2011
47,Nicolas Maurice-Belay,Sochaux,26,FW,31(6),2658,3,4,3,-,0.9,77,0.6,3,7.13,1.9,1,1,-,1.1,0.5,-,-,1.1,2.2,1.4,0.1,1.6,1,30.4,0.7,0.6,0.1,Ligue 1,2010/2011
48,Alexis Thébaux,Caen,26,GK,35,3150,-,-,1,-,-,55.8,0.1,3,7.13,-,0.1,-,-,1.7,0.1,-,-,-,-,0.3,-,-,-,25.5,-,10.1,-,Ligue 1,2010/2011
49,Grégory Pujol,Valenciennes,31,FW,33,2890,17,3,2,-,2.2,68.9,2.2,5,7.12,1.2,1.1,2.3,-,0.4,0.4,0.1,-,0.8,0.2,2,0.8,2.1,2,25.9,0.3,0.5,-,Ligue 1,2010/2011
50,Foued Kadir,Valenciennes,28,M(CLR),11(1),962,4,-,-,-,1.8,81.4,0.4,1,7.12,1.8,1.3,1.5,-,0.3,0.7,-,-,1.6,0.9,1.5,0.3,2.2,1.5,35,0.6,1.2,0.1,Ligue 1,2010/2011
51,Franck Béria,Lille,28,D(CLR),25(2),2288,1,1,1,-,0.7,74.8,1.9,1,7.12,2.4,2.9,1.9,0.1,3.1,0.3,0.1,-,0.4,0.2,1.3,0.1,0.7,0.8,33.5,0.2,0.7,-,Ligue 1,2010/2011
52,César Azpilicueta,Marseille,22,M(R),12(3),1015,-,1,1,-,0.2,78.6,1,2,7.11,3.9,1.6,1.5,0.2,3.7,0.7,0.3,-,0.5,0.2,0.9,-,0.2,0.6,29.3,0.4,0.9,0.1,Ligue 1,2010/2011
53,Kévin Théophile-Catherine,Rennes,22,D(CLR),25(1),2266,2,-,-,-,0.6,75.8,1.4,1,7.10,3,2.5,2.1,0.4,5,0.8,0.2,1,0.2,0.3,1,-,0.6,0.7,32,0.3,1.2,-,Ligue 1,2010/2011
54,Gaël Danic,Valenciennes,30,AM(CLR),31(5),2644,9,6,6,-,1.7,70.9,0.6,4,7.10,1.5,1,0.9,-,0.4,0.7,0.1,-,1.6,0.9,1.4,0.5,1.6,1.6,23,1.7,1.2,0.1,Ligue 1,2010/2011
55,Christophe Jallet,PSG,28,M(L),35,3053,1,-,4,1,0.9,73.2,1.7,1,7.10,3.3,2.1,1.5,0.1,3.3,0.7,0.2,-,0.8,0.4,0.7,-,0.8,0.8,44.9,1.2,3,-,Ligue 1,2010/2011
56,Ryad Boudebouz,Sochaux,21,FW,37(1),3250,8,8,2,-,1.8,80.9,0.3,-,7.10,1.2,0.8,1,0.1,0.8,0.6,0.1,-,1.3,1.7,1.5,-,2.1,1.3,43.8,1,3,0.2,Ligue 1,2010/2011
