,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
171,Niko Bungert,Mainz,D(C),27(2),2425,3,1,5,-,0.5,78.4,1.1,-,6.92,1.9,2.4,1.2,0.4,5.8,0.8,0.6,-,0.3,-,0.9,-,0.3,0.3,39.8,-,5,-,Bundesliga,2011/2012
172,Hanno Balitsch,Nuernberg,M(C),12,894,1,1,5,-,0.6,70.9,0.5,-,6.92,2.3,1.7,1.3,-,0.8,0.7,0.3,-,0.4,1.3,1.3,0.1,1,0.3,24.9,0.3,2.5,0.1,Bundesliga,2011/2012
173,Danny Williams,Hoffenheim,M(C),17(7),1590,-,1,5,-,0.2,81.9,1,1,6.91,2.5,2.6,1.2,0.1,0.9,0.8,0.5,-,0.3,1,2.2,0.1,1.1,0.6,31.6,-,3.2,0.1,Bundesliga,2011/2012
174,Ricardo Rodríguez,Wolfsburg,M(L),17,1530,-,-,1,-,0.5,70.6,1.4,-,6.91,2.8,1.5,1,0.9,2.1,0.9,0.1,-,0.8,0.9,1.1,-,0.4,0.6,36.2,0.9,3.5,-,Bundesliga,2011/2012
175,Roel Brouwers,Borussia M.Gladbach,D(C),17(4),1633,-,1,3,1,0.1,90.3,1,-,6.91,1.2,1.9,1,1.2,4.4,0.3,0.8,-,0.1,-,0.7,-,0.1,0.2,43,-,4,-,Bundesliga,2011/2012
176,Florian Hartherz,Werder Bremen,M(L),10,873,-,-,-,-,0.4,78.1,0.2,-,6.90,2.1,2.6,0.2,0.7,2.3,0.6,0.2,-,1.2,0.9,0.8,-,0.9,0.7,54.9,1.1,1.9,-,Bundesliga,2011/2012
177,Jan Kirchhoff,Mainz,DMC,22(7),2136,-,-,6,-,0.5,78.3,1.6,1,6.90,2.7,2.5,1.9,0.3,4.3,1,0.3,1,0.3,0.3,0.5,-,0.6,0.6,43.3,-,4.9,0.1,Bundesliga,2011/2012
178,Alexander Baumjohann,Schalke,M(C),4(4),322,-,1,1,-,0.5,76.9,0.3,1,6.90,1.1,0.8,1,-,-,0.8,-,-,1,2.6,2,-,2,0.8,17.9,0.8,0.5,-,Bundesliga,2011/2012
179,Håvard Nordtveit,Borussia M.Gladbach,DMC,27(4),2384,1,-,5,-,0.7,80.4,1,-,6.90,2.1,1.9,1.2,-,1.1,0.9,0.3,-,0.4,0.7,0.8,-,0.8,0.7,44,0.1,5,-,Bundesliga,2011/2012
180,Bernd Leno,Leverkusen,GK,33,2970,-,-,1,-,-,62.6,-,2,6.90,-,-,-,-,0.9,0.1,-,-,-,-,0.2,-,-,-,31.5,-,10.4,-,Bundesliga,2011/2012
181,Zoltán Stieber,Mainz,AM(CLR),5(2),362,-,1,-,-,0.9,77.6,-,-,6.89,1,1.4,0.6,-,-,1.6,0.1,-,2.4,1.3,0.7,0.6,1.4,0.6,15.3,2.4,0.7,-,Bundesliga,2011/2012
182,Isaac Vorsah,Hoffenheim,DMC,20(1),1725,-,-,2,1,0.3,83.2,1.1,-,6.89,2,2.4,0.9,0.6,4.9,0.9,0.8,-,0.2,0.6,0.5,-,-,0.3,45.4,-,6.9,-,Bundesliga,2011/2012
183,Josué,Wolfsburg,M(C),26(2),2028,-,-,7,-,0.1,78.7,0.3,-,6.89,4.7,3.1,2.5,0.2,0.9,2.3,0.3,-,0.3,0.3,1.4,-,1,0.6,28.5,-,2.5,-,Bundesliga,2011/2012
184,Karim Guédé,Freiburg,FW,8(2),663,2,-,1,-,1.3,65.8,0.7,1,6.89,2.6,1.5,2.5,-,0.3,1.4,0.2,-,0.6,0.9,1.5,0.7,1.4,1.7,15.2,0.1,0.4,0.1,Bundesliga,2011/2012
