,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
339,David Barral,Sporting Gijon,FW,23(10),2003,4,-,10,1,2.4,69.7,1.5,-,6.65,0.9,0.5,1.8,-,0.6,0.3,0.1,-,0.5,0.7,1.6,0.7,0.8,-,16.2,0.2,0.5,-,LaLiga,2009/2010
340,Rafael Márquez,Barcelona,D(C),7(8),763,1,1,2,1,0.9,85.7,0.4,-,6.64,0.9,1,0.5,0.5,1.4,0.3,0.2,-,0.2,-,0.5,0.1,-,-,42.4,0.1,5.5,0.1,LaLiga,2009/2010
341,Juan Forlín,Espanyol,M(C),23(1),2019,2,-,11,1,0.5,75.4,1,1,6.64,1.4,2.2,2,0.8,4.3,0.4,0.4,-,0.2,0.1,0.8,-,0.1,-,35.7,-,3.5,0.1,LaLiga,2009/2010
342,Carlos Bellvis,Tenerife,D(L),15,1293,-,-,5,-,0.5,76.2,1.1,1,6.63,2.2,2.6,1.8,0.3,4.5,1,0.2,-,0.6,0.5,1,-,0.7,-,37.8,0.5,1.4,-,LaLiga,2009/2010
343,Pablo Pinillos,Racing Santander,D(R),22(1),1923,-,-,8,-,0.1,73.6,0.8,-,6.63,2.4,1.7,1.8,0.3,5.2,0.9,0.3,1,0.3,0.1,1,-,0.7,-,31.3,0.3,2.3,-,LaLiga,2009/2010
344,Daniel Kome,Tenerife,M(C),19(10),1584,-,3,5,-,0.7,83.2,0.4,-,6.63,0.7,1.1,1.1,-,0.1,0.2,-,-,1.4,1.3,1.6,0.4,2,-,23.4,0.4,0.8,0.1,LaLiga,2009/2010
345,Javier Baraja,Real Valladolid,M(C),18(7),1648,2,-,5,-,0.7,71.8,0.8,-,6.63,1.6,1.6,1.1,0.2,5.4,0.4,0.1,-,0.2,-,0.6,-,0.3,-,26.5,0.3,3.4,-,LaLiga,2009/2010
346,Joel Johnson,Valencia,Midfielder,1,90,-,-,-,-,-,75.9,-,-,6.63,1,1,2,1,4,1,-,-,-,-,2,-,2,-,29,-,-,1,LaLiga,2009/2010
347,Robert Pires,Villarreal,AM(L),13(15),1281,4,1,4,-,0.9,81.8,0.3,1,6.63,0.6,1,0.6,-,0.2,0.2,0.1,-,0.8,0.6,1,0.1,1,-,25.5,0.2,1.1,0.2,LaLiga,2009/2010
348,Jeffrén Suárez,Barcelona,FW,6(6),406,2,-,1,-,0.4,86.3,-,-,6.63,0.8,0.7,0.5,0.1,0.4,0.3,0.1,-,0.7,0.6,0.5,0.2,0.7,-,12.2,0.4,0.4,-,LaLiga,2009/2010
349,Raúl Goni,Real Zaragoza,D(L),6,540,-,-,1,-,-,80.6,1.2,-,6.63,2,1.8,1.5,0.7,7.8,0.7,0.3,-,-,-,0.5,-,0.2,-,27.5,-,0.7,-,LaLiga,2009/2010
350,Mateo Musacchio,Villarreal,D(C),5(2),403,-,-,-,1,0.3,70.7,0.7,-,6.62,2.9,1.9,0.7,1.4,4.4,0.4,0.3,-,-,0.1,0.7,-,0.3,-,13.1,-,0.6,-,LaLiga,2009/2010
351,Jermaine Pennant,Real Zaragoza,M(R),13(12),1224,-,1,2,-,0.4,77,0.2,-,6.62,0.7,1,0.5,-,0.2,0.5,-,-,1.4,1.1,1.2,0.3,0.8,-,15.8,2.1,0.6,-,LaLiga,2009/2010
352,David Cortés,Getafe,D(R),19(1),1560,-,1,3,1,0.1,77.5,0.3,-,6.62,1.7,1.4,1.4,0.5,3.2,0.8,0.2,-,0.5,0.2,0.8,-,0.4,-,41.4,0.6,1.3,0.1,LaLiga,2009/2010
353,Dmytro Chygrynskiy,Barcelona,D(C),10(2),853,-,-,2,-,0.2,93.2,0.3,-,6.62,0.8,1,0.9,1.3,3.2,0.5,0.4,-,0.3,-,0.2,-,-,-,57.4,-,6.8,-,LaLiga,2009/2010
